"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"527","CR2",2.73658623917758,4.32306589657478,1.52324839739234,2.83805707852735,0.0045389065165766,0.0152698057563672
"528","CR1L",62.6269530632201,6.61195844840204,1.01032355725402,6.54439699136859,5.97359211338887e-11,9.59124415962811e-10
"529","MIR29B2CHG",310.348045472978,2.76864803399508,0.355028913361868,7.79837339944508,6.27102217866011e-15,1.54276125579065e-13
"530","LOC105372898",1.57988184364239,4.30456117566275,1.68218581837759,2.55890944308064,0.0105001089520471,0.0313197520307004
"531","LAMB3",1059.83413557108,2.5189295953003,0.560491688007369,4.49414264153581,6.98507969742935e-06,4.80816036868793e-05
"532","HSD11B1-AS1",7.65791587994659,2.84054697784925,1.15924002689124,2.45035274141353,0.0142716326035505,0.0407512434563431
"533","G0S2",3399.87720602286,6.38043985101488,0.733220737838826,8.70193588607611,3.26269910211971e-18,1.08841107911489e-16
"534","HSD11B1",657.356312959821,2.63458533271669,0.573184938566922,4.59639665219342,4.29860032132773e-06,3.08029003213391e-05
"535","IRF6",92.7670983732593,4.56096292654444,1.47445472553544,3.0933217870682,0.00197929391205383,0.00743804653498026
"536","TRAF5",802.021628040255,2.46885727716167,0.546344957067794,4.51886165548576,6.21730013411128e-06,4.32150571695341e-05
"537","NEK2",11.0628166277566,-3.11823946969102,0.765816525510564,-4.07178399240225,4.66544349254207e-05,0.000265845171482165
"538","DTL",54.0863583198724,-3.40701235136085,0.686485862685942,-4.96297525783064,6.94214286154806e-07,5.8463732530096e-06
"539","PPP2R5A",1405.74742045749,-1.43607308772102,0.172053546155957,-8.34666369747065,7.0218294110409e-17,2.09496432905961e-15
"540","LINC02773",38.2654004900184,2.2609440045998,0.815701306530947,2.77177931002128,0.00557508198307124,0.0182322160791556
"541","BATF3",111.800614095317,3.79381675805345,0.879428337594455,4.31395782450093,1.60357551214047e-05,0.000102129480254211
"542","TATDN3",368.211956817729,1.04814912474581,0.233075661833549,4.49703378079152,6.89080433907968e-06,4.74802213417335e-05
"543","PROX1",4.87747810614215,3.38679463588097,1.1498385602398,2.94545230347351,0.00322482863557011,0.0113782418536562
"544","CENPF",168.268286083033,-2.76486708820304,0.398529729763293,-6.93766833868389,3.98624195730948e-12,7.28549327942308e-11
"545","RRP15",274.406882964678,-1.9094945604631,0.316130010352878,-6.04021920706497,1.53904995555331e-09,2.04045362596058e-08
"546","TGFB2",6.17828893617696,-2.64460930504615,0.977528985775977,-2.70540244179749,0.00682216838509082,0.0217213626914336
"547","EPRS1",2694.75369761185,-1.0689301760367,0.184939192747434,-5.7799007347053,7.4744713385639e-09,8.88148133232469e-08
"548","MTARC2",30.5753415930609,-3.07950359238407,0.610239685498856,-5.0463836842513,4.50250786691509e-07,3.95330929234759e-06
"549","MTARC1",185.940773907215,-5.0219321304507,0.393830758034037,-12.7514980178787,3.05811665682599e-37,3.82097775740149e-35
"550","RNU6ATAC35P",2.5282900378062,-4.58620780826689,1.5060960116011,-3.04509657614151,0.00232605604615816,0.00854642157326621
"551","HLX",1494.1069023541,1.44515083124533,0.187208694493621,7.71946428639065,1.16819645713909e-14,2.81349744864247e-13
"552","DUSP10",1523.90791199964,1.00105886172662,0.185765275257948,5.3888373935149,7.09149306499153e-08,7.23753569444878e-07
"553","LINC02257",39.7487197522103,-1.9963977970837,0.778154933946521,-2.56555309231119,0.010301145525484,0.0308406064701392
"554","LINC01705",79.8439036110065,-1.92389473013977,0.642703007550849,-2.99344286168998,0.00275849154962303,0.00992825799354546
"555","MIA3",1967.05928658499,1.03098833516827,0.182796064697709,5.64010137129167,1.69950080455499e-08,1.90314549629036e-07
"556","TLR5",69.1059266072116,-4.15217420579468,0.538194115302022,-7.71501227482685,1.20970590240275e-14,2.90667795850058e-13
"557","GTF2IP20",70.4812958489385,1.14595168824268,0.366577077681373,3.12608659409615,0.00177149380248138,0.00674070067034997
"558","CNIH3",2005.11897860309,-1.35085067565099,0.371537185003632,-3.63584246792898,0.000277073623315254,0.00131646688598002
"559","CNIH3-AS2",95.7108751569529,-2.57285526828616,0.52666906415933,-4.88514599275534,1.03352244245228e-06,8.39192543268858e-06
"560","CNIH3-AS1",97.5751444281804,7.79147217241978,0.851048768440784,9.1551418218895,5.42864557744147e-20,2.16893327954522e-18
"561","DNAH14",60.3653792346896,-1.85645309161383,0.449132599323867,-4.13341871511569,3.57406735730818e-05,0.000208932293146897
"562","ENAH",231.73808716924,2.65616368277255,0.615018647041736,4.31883438908528,1.56855426632884e-05,0.000100115525556147
"563","STUM",325.384341967387,-7.14946325909872,0.553052372110024,-12.9272807054816,3.15791552188621e-38,4.34023909328041e-36
"564","ITPKB",6481.64178030942,-3.37848313137178,0.312903748482849,-10.7971960954535,3.54875444906983e-27,2.4066158461192e-25
"565","ITPKB-IT1",37.0583192294939,-3.16867807565956,0.592744069017232,-5.3457777838473,9.00296072760488e-08,9.05832300440713e-07
"566","CCSAP",1238.5120493696,-1.09749391640261,0.205621142361735,-5.33745656597833,9.42594729632468e-08,9.42869138578503e-07
"567","URB2",282.856294538223,-1.62271527293719,0.280198605261473,-5.79130389112006,6.98420756941428e-09,8.32772835460062e-08
"568","GALNT2",9456.81503456764,1.16099556707628,0.390185408872317,2.97549713719869,0.00292514080435641,0.0104532332852508
"569","PGBD5",386.603025212168,-5.89655129309687,0.670405929195738,-8.79549394822738,1.42420067734746e-18,4.94298336097564e-17
"570","LOC124904543",10.083277284102,-5.09886118700564,1.11510061532378,-4.57255705623044,4.81807966372578e-06,3.41104156412674e-05
"571","FAM89A",180.53641524755,-1.21583938273184,0.450813346704336,-2.69699065393742,0.00699692340963902,0.0222091721344293
"572","SIPA1L2",1979.81929677275,-1.00235561263941,0.308868655483398,-3.2452487322505,0.0011734807475169,0.00470670799432069
"573","SLC35F3",4.92522342330277,-4.00292481770673,1.34558466626238,-2.9748591211474,0.00293123130187155,0.010471367963851
"574","TARBP1",396.760636972219,-1.71872111327914,0.215459742577024,-7.97699418333204,1.4993988860869e-15,3.92777731074555e-14
